,sport,school,coach
53,Basketball,JSerra Catholic,Keith Wilkinson
54,Basketball,Capital Christian,Matt Filer
55,Basketball,Rancho Christian,Ray Barefield
56,Basketball,Carlsbad,Sam Eshelman
57,Basketball,St. John Bosco,Matt Dunn
58,Basketball,Santa Teresa,Lee Santos
59,Basketball,Clayton Valley Charter,Andrew Doss
60,Basketball,Pasadena,Tony Brooks
61,Basketball,Inderkum,Fred Wilson
62,Basketball,Santa Fe Christian,Chad Bickley
63,Basketball,Colony,Jerry De Fabiis
64,Basketball,"Edison (Stockton, CA)",Diondre Hawthorne
65,Basketball,Westchester,Ed Azzam
66,Basketball,Jesuit,Tim Kelly
67,Basketball,San Leandro,Darrnaryl Stamps
68,Basketball,Clovis North,Tony Amundsen
69,Basketball,Canyon,Nate Harrison
70,Basketball,Birmingham,Nicholas Halic
71,Basketball,Foothills Christian,Brad Leaf
72,Basketball,Taft,Derrick Taylor
73,Basketball,Weston Ranch,chris teevan
74,Basketball,Notre Dame (SO),Matt Sargeant
75,Basketball,Clovis East,Adrian Wiggins
76,Basketball,Calabasas,Jon Palarz
77,Basketball,Deer Valley,Rob McCune
78,Basketball,View Park,Deon Coleman
79,Basketball,Modesto Christian,Brice Fantazia
80,Basketball,South Gate,Al Rangel
81,Basketball,Moreau Catholic,Frank Knight
82,Basketball,Crossroads,Anthony Davis
83,Basketball,Bishop Montgomery,Doug Mitchell
84,Basketball,Cosumnes Oaks,Sheridan Crite
85,Basketball,Narbonne,Anthony Hilliard
86,Basketball,Monterey Trail,Robert Fields
87,Basketball,Redondo Union,Nick Welch
88,Basketball,Sequoia,Fine Lauese
89,Basketball,Pitman,Harvey Marable
90,Basketball,University,Steven Ackerman
91,Basketball,San Marcos,Dante Carey
92,Basketball,Brentwood School,Ryan Bailey
93,Basketball,Palisades,Donzell Hayes
94,Basketball,Grant,Tarek Abdelsameia
95,Basketball,Mountain View,Kevin Mack
96,Basketball,Independence,Skip Yenchik
97,Basketball,Loyola,Jamal Adams
98,Basketball,Monte Vista,Nick Jones
99,Basketball,Mayfair,Tony Davis
100,Basketball,La Costa Canyon,david cassaw
101,Basketball,"Edison (Fresno, CA)",Jervis Cole
102,Basketball,Davis,Daniel Gonzalez
103,Basketball,Mission Hills,curtis hofmeister
104,Basketball,Crespi,Russell White
105,Basketball,"Franklin (Elk Grove, CA)",Ken Manfredi
106,Basketball,Long Beach Poly,shelton diggs
107,Basketball,Homestead,Matt Wright
108,Basketball,Amador Valley,Adam Sax
109,Basketball,Foothill,Jason Wallis
110,Basketball,Oak Ridge,Jim Stephens
111,Basketball,James Logan,Melvin Easley
112,Basketball,Temecula Valley,rico Thompson
113,Basketball,Granada Hills Charter,Don Loperena
114,Basketball,Mission Prep,Terrance Harris
115,Basketball,Bear Creek,Anthony Torres
116,Basketball,Oakland,Orlando Watkins
117,Basketball,Bullard,Tim Amundsen
118,Basketball,Salinas,Jerod Stewart
119,Basketball,Trabuco Hills,Sean Sullens
120,Basketball,Kennedy,Nathan Stephens
121,Basketball,Central,Greg Streets
122,Basketball,Skyline,DeUndrae Perteete
123,Basketball,Chino Hills,Dennis Latimore
124,Basketball,Eagle Rock,Christian Dunbar
125,Basketball,Rancho Verde,Brandon Baker
126,Basketball,George Washington Prep,Jovante King
127,Basketball,San Benito,Michael Baumgartner
128,Basketball,Milpitas,Champ Wrencher
129,Basketball,Buchanan,Brooks Malm
130,Basketball,Enochs,Randy Rubio
131,Basketball,College Park,James Medeiros
132,Basketball,Rancho Buena Vista,Aaron Abrams
133,Basketball,Santa Margarita,Justin Bell
134,Basketball,Arroyo,Mike Budge
135,Basketball,Orange Lutheran,Daniel Dunbar
136,Basketball,Camarillo,Brendan Garrett
137,Basketball,"Liberty (Brentwood, CA)",Jon Heinz
138,Basketball,Silver Creek,darren sumida
139,Basketball,Stockdale,Bryson Gholston
140,Basketball,El Camino Real,Joe Wyatt
141,Basketball,McClatchy,Antawn Greer
142,Basketball,"Fremont (Sunnyvale, CA)",Anthony Kikuta
143,Basketball,Irvington,Ron Littleton
144,Basketball,Castlemont,Nathan Burks
145,Basketball,Rancho Bernardo,marc basehore
146,Basketball,Cupertino,craig ellegood
147,Basketball,Van Nuys,Evan Porter
148,Basketball,Heritage,Carly Perales
149,Basketball,Westview,Kyle Smith
150,Basketball,Berkeley,JJ Frazier
151,Basketball,McClymonds,Justin Standley
152,Basketball,Carlmont,Ron Ozorio
153,Basketball,Montgomery,Edward Martin
154,Basketball,La Jolla Country Day,Ryan Meier
155,Basketball,Los Gatos,Jamon Osby
156,Basketball,Alisal,Jose Gil
157,Basketball,Washington,Jolinko Lassiter
158,Basketball,Mission Bay,Marshawn Cherry
159,Basketball,Rancho Cucamonga,Bill Burke
160,Basketball,American,Ed Villatoro
161,Basketball,California,Anthony Khoo
162,Basketball,Bishop's,Nicholas Levine
163,Basketball,Notre Dame,Jose Hernandez
164,Basketball,Armijo,Christian Stoll
165,Basketball,Lodi,Scott Woznick
166,Basketball,Crenshaw,Ed Waters
167,Basketball,Sylmar,Bort Escoto
168,Basketball,Vista,Anthony Bolton
169,Basketball,Clovis,Jonathan Heinz
170,Basketball,Turlock,Doug Cornfoot
171,Basketball,Modesto,Pete Peterson
172,Basketball,Carson,Kevin Shaw
173,Basketball,"Fremont (Los Angeles, CA)",Daniel williams
174,Basketball,Antioch,Andrew Riva
175,Basketball,"Liberty (Bakersfield, CA)",Clayton Madden
176,Basketball,Chavez,Mack Harris
177,Basketball,Pleasant Grove,Dwayne Smith
178,Basketball,Pittsburg,Hari Brown
179,Basketball,Castro Valley,Terrell Carriere
180,Basketball,North Salinas,Alan Green
181,Basketball,Freedom,Mark Johnson
182,Basketball,Napa,Zack Cook
183,Basketball,River City,travis okamoto
184,Basketball,Granite Bay,Jason Sitterud
185,Basketball,Venice,David Galley
186,Basketball,Everett Alvarez,Mark Haddan
187,Basketball,"Franklin (Stockton, CA)",Demond Spradley
188,Basketball,Galileo,Mark Huynh
189,Basketball,Sunnyside,Corey Duckworth
190,Basketball,Watsonville,Marcus A. Northcutt
191,Basketball,Cleveland,John Fischer
192,Basketball,Mount Miguel,Jay Rowlett
193,Basketball,Downey,Calen Coleman
194,Basketball,Dorsey,Jonathan Harper
195,Basketball,Monta Vista,Calvin Wong
196,Basketball,Oxnard,Jeff Staniland
197,Basketball,Ribet Academy,Reginald Howard
198,Basketball,Bonita,Tim Godley
199,Basketball,Palm Springs,Chris Howard
200,Basketball,Archbishop Mitty,Tim Kennedy
201,Basketball,Campolindo,Steven Dyer
202,Basketball,Grant,P. Deonard Wilson
203,Basketball,Sonora,Mike Murphy
204,Basketball,Whitney,Nick French
205,Basketball,Salesian College Preparatory,Bill Mellis
206,Basketball,Poly,Alex Pladevega
207,Basketball,Washington,Michael Tripp
208,Basketball,Santa Clara,Tony McGilvery
209,Basketball,Hesperia,Andrew Skidmore
210,Basketball,"Burbank (Sacramento, CA)",lindsey ferrell
211,Basketball,Pacifica Christian/Orange County,Jeffrey Berokoff
212,Basketball,Cardinal Newman,Tom Bonfigli
213,Basketball,Hillsdale,Brett Stevenson
214,Basketball,St. Mary's,Kenneth Green
215,Basketball,De Anza,Reginald Figgs
216,Basketball,Oakmont,John Hunter
217,Basketball,Independence,Rich Ross
218,Basketball,Murrieta Mesa,Michael Bertulfo
219,Basketball,Elk Grove,Dustin Monday
220,Basketball,Oak Grove,Tino Mendoza
221,Basketball,Mira Costa,Neal Perlmutter
222,Basketball,Lincoln (CA),Robert Ash
223,Basketball,Escondido,Paul Baldwin
224,Basketball,Newark Memorial,craig ashmore
225,Basketball,Bonita Vista,Don Dumas
226,Basketball,Santa Barbara,Corey Adam
227,Basketball,Cajon,Randy Murray
228,Basketball,Millikan,Nate Berger
229,Basketball,"Roosevelt (Fresno, CA)",JaMarr Chisom
230,Basketball,University City,Terry Stonebraker
231,Basketball,"Roosevelt (Los Angeles, CA)",Mario Perez
232,Basketball,"Serra (San Mateo, CA)",Charles J Rapp
233,Basketball,Manual Arts,Randolph Simpson
234,Basketball,San Diego,Basil Fontenot
235,Basketball,Tamalpais,Tim Morgan
236,Basketball,Antelope,Mike Dresser
237,Basketball,Peninsula,Ryan Quinlan
238,Basketball,San Ramon Valley,Brian Botteen
239,Basketball,San Marcos,Jelani Hicks
240,Basketball,Las Lomas,Jason Rockwell
241,Basketball,Redlands East Valley,Bill Berich
242,Basketball,Sweetwater,Jesse Aguirre
243,Basketball,Hill,Ben Herning
244,Basketball,Christopher,tim vonurff
245,Basketball,Alameda,Cameron Quick
246,Basketball,Porterville,Lance Wallace
247,Basketball,Los Alamitos,Eddie Courtemarche
248,Basketball,Otay Ranch,Howard suda
249,Basketball,Ponderosa,clark woods
250,Basketball,Verdugo Hills,Jared Gibson
251,Basketball,Petaluma,Anton Lyons
252,Basketball,Vintage,Ben Gongora
253,Basketball,Dominguez,Jonathan Davis
254,Basketball,Olympian,Marty Ellis
255,Basketball,San Pedro,John Bobich
256,Basketball,Immanuel,Chris Woods
257,Basketball,Vacaville,duane kamman
258,Basketball,Fresno,Carvell Wafer
259,Basketball,Lynwood,Jason Crowe
260,Basketball,Crean Lutheran,Nate Klitzing
261,Basketball,Oceanside,Cameron Clark
262,Basketball,Rio Americano,Chris Jones
263,Basketball,Woodside,Eli Thornton
264,Basketball,Acalanes,Sol Henik
265,Basketball,San Lorenzo,Nick Koury
266,Basketball,"Redwood (Visalia, CA)",Jason Black
267,Basketball,Army-Navy,Bobby Huggins
268,Basketball,Wilcox,Robert Toloy
269,Basketball,Del Norte,Robert Spahn
270,Basketball,Hanford West,mel parker
271,Basketball,La Mirada,Randy Oronoz
272,Basketball,San Clemente,Marc Popovich
273,Basketball,Chatsworth,Dax Grooms
274,Basketball,Sacramento,McCall Wollman
275,Basketball,Roybal,Gina Capobianco
276,Basketball,San Luis Obispo,Trey Francke
277,Basketball,Scripps Ranch,Brian Keiser
278,Basketball,San Mateo,Joshua Gould
279,Basketball,Pioneer,Joe Berticevich
280,Basketball,Johnson,Gary Brisco
281,Basketball,Sherman Oaks CES,Coach J. Crockett
282,Basketball,Saint Francis,Mike Motil
283,Basketball,Montgomery,Zac Tiedeman
284,Basketball,Stagg,Ryan Berg
285,Basketball,Vallejo,Andrew Johansen
286,Basketball,"Serra (Gardena, CA)",Bernard McCrumby
287,Basketball,Yuba City,Sundiada Tirado
288,Basketball,Highland,DJ Hein
289,Basketball,Hollywood,Ramon Kirkland
290,Basketball,Wilson,Anthony Polanco
291,Basketball,Monache,Herb Abiog
292,Basketball,Atascadero,Augie Johnston
293,Basketball,El Toro,Nick Sainato
294,Basketball,Agoura,Conley Oliver
295,Basketball,Tracy,Junior Cueva
296,Basketball,American Canyon,Scott Hayburn
297,Basketball,Gilroy,Mike Suarez
298,Basketball,King,Jeff Dietz
299,Basketball,JW North,Mike Bartee
300,Basketball,Centennial,hernan santiago
301,Basketball,Murrieta Valley,Brian Wethers
302,Basketball,Orange Glen,Chris Featherly
303,Basketball,Bernstein,Derrick Melvin
304,Basketball,Hanford,Brad Felder
305,Basketball,Rodriguez,Nathaniel Rankin
306,Basketball,South East,Jason Hicks
307,Basketball,Cordova,Fletcher Johnson
308,Basketball,"Serra (San Diego, CA)",james carroll
309,Basketball,Kennedy,Kevin Kanemura
310,Basketball,Point Loma,Josh Aros
311,Basketball,Santa Rosa,Madison Lott
312,Basketball,"Redwood (Larkspur, CA)",jay demaestri
313,Basketball,"Lincoln (Los Angeles, CA)",Fernand Pierre-Louis
314,Basketball,Gunn,Brandynn Williams
315,Basketball,Woodrow Wilson,James Boykin
316,Basketball,Atwater,Kanoa Smith
317,Basketball,Benicia,Steven Carter
318,Basketball,Garfield,Ricardo Rivas
319,Basketball,Diamond Bar,Henry Frierson
320,Basketball,Buhach Colony,Steve Abrams
321,Basketball,Willow Glen,Drew Marino
322,Basketball,Culver City,rj walker
323,Basketball,"Lincoln (San Diego, CA)",Jeff Harper Harris
324,Basketball,Hamilton,Sterling Brown
325,Basketball,Downey,Larry Shelton
326,Basketball,Valhalla,Keith Jackson
327,Basketball,Lynbrook,Rick Appler
328,Basketball,Knight,Tom Hegre
329,Basketball,El Diamante,Jeff Lynch
330,Basketball,Bethel,Dwayne Jones
331,Basketball,Northwood,Tim OBrien
332,Basketball,Marshall,Jared Levin
333,Basketball,Branham,Larry Loeffler
334,Basketball,Aragon,Hosea Patton
335,Basketball,Leigh,Todd Baldwin
336,Basketball,Windsor,Jared Greninger
337,Basketball,Valley Christian,Mark DeLuca
338,Basketball,Bell,Alejandro De Santiago
339,Basketball,River Valley,David Williams
340,Basketball,Marina,Nick Racklin
341,Basketball,Paso Robles,Derrick Jasper
342,Basketball,Canyon Crest Academy,Brian Baum
343,Basketball,"Lincoln (San Jose, CA)",Joe Lopez
344,Basketball,Mira Loma,Mark Telles
345,Basketball,El Cerrito,Amir Rashad
346,Basketball,Banning,Robert Gomez
347,Basketball,Burbank (CA),Sid Cooke
348,Basketball,West,Scott von Stade
349,Basketball,Del Oro,Luke Vaughn
350,Basketball,Chavez,Nicholas Nathanson
351,Basketball,Vista del Lago,Tim Weir
352,Basketball,Leland,Mitchell Shapero
353,Basketball,Northgate,Ron Pangilinan
354,Basketball,Concord,Mike Jaime
355,Basketball,Ukiah,DUANE NELSON
356,Basketball,Monroe,Corey Hamashita
357,Basketball,Lemoore,Joel Sligh
358,Basketball,Laguna Creek,Mike Gill
359,Basketball,Roseville,Greg Granucci
360,Basketball,Pioneer Valley,Ross Rivera
361,Basketball,Sage Creek,Brandon Dowdy
362,Basketball,Paloma Valley,Craig Anderson
363,Basketball,Mira Mesa,Jon Pierce
364,Basketball,La Jolla,Paul Baranowski
365,Basketball,Los Angeles CES,Roberto salazar jr
366,Basketball,Ridgeview,Michael Martin
367,Basketball,Casa Grande,Chris Gutendorf
368,Basketball,Righetti,Kevin Barbarick
369,Basketball,Central Valley,Michael Rodriguez
370,Basketball,Tulare Union,Mark Hatton
371,Basketball,Davis,Dan Pacheco
372,Basketball,Bella Vista,David Gonzalez
373,Basketball,Livermore,James Petersdorf
374,Basketball,Tokay,Chris Boss
375,Basketball,McNair,Abbas Akhtar
376,Basketball,Steele Canyon,Jason Robinson
377,Basketball,Westmont,John Franza
378,Basketball,Yerba Buena,Anthony Bendter
379,Basketball,Rancho Dominguez,Chris Calloway
380,Basketball,Esperanza,Mark Hill
381,Basketball,Oak Park,Aaron Shaw
382,Basketball,Piner,Mike Erickson
383,Basketball,Rolling Hills Prep,Harvey Kitani
384,Basketball,Branson,Jonas Honick
385,Basketball,Shadow Hills,Ryan Towner
386,Basketball,Capistrano Valley,Brian Mulligan
387,Basketball,Salesian,Jack Mai
388,Basketball,Westlake,Kyle Kegley
389,Basketball,Heritage Christian,Paul Tait
390,Basketball,Cathedral,William Middlebrooks
391,Basketball,Great Oak,Robert Hickey
392,Basketball,Archbishop Riordan,Joe Curtin
393,Basketball,Animo Venice,Teddy Fletcher
394,Basketball,"Foothill (Palo Cedro, CA)",Bill Elliott
395,Basketball,Adelanto,Kimo Brown
396,Basketball,Bakersfield Christian,Garrett Brown
397,Basketball,Tesoro,Steve Garrett
398,Basketball,Mission Viejo,Troy Roelen
399,Basketball,Santa Clarita Christian,James Mosley
400,Basketball,Vanden,Micheal Holloway
401,Basketball,Florin,Tuan Nguyen
402,Basketball,St. Francis,Todd Wolfson
403,Basketball,Mark Keppel,Hung Duong
404,Basketball,Providence,Brandon Lincoln
405,Basketball,Village Christian,Julian Andrade
406,Basketball,Dinuba,Jeff Schofield
407,Basketball,Chavez,Alfonso Hernandez
408,Basketball,San Gabriel Academy,Kevin McCloskey
409,Basketball,Newport Harbor,Robert Torribio
410,Basketball,St. Bernard,Mitch Runco
411,Basketball,Wood,Mark Wudel
412,Basketball,Golden Valley,Keith Hunter
413,Basketball,Schurr,Rick Ronquillo
414,Basketball,Roosevelt,Stephen Singleton
415,Basketball,Chaminade,Bryan Cantwell
416,Basketball,St. Joseph Notre Dame,Donald Lippi
417,Basketball,Cerritos,Jonathan Watanabe
418,Basketball,"Jefferson (Los Angeles, CA)",jose fuentes
419,Basketball,San Ysidro,Terance Tucker
420,Basketball,Los Osos,Calvin Tang
421,Basketball,Hercules,Gerald Montgomery
422,Basketball,Mountain House,Nolan Dixon
423,Basketball,Tulare Western,Keith Rickard
424,Basketball,Silverado,Michael Record
425,Basketball,Del Mar,Mark Collins
426,Basketball,Central Catholic,Mike Wilson
427,Basketball,Laguna Beach,Bret Fleming
428,Basketball,Shafter,Jeff Waldrip
429,Basketball,Live Oak,Randy Bartholomew
430,Basketball,Hillcrest,Jackson Wood
431,Basketball,Price,Chans Smyth
432,Basketball,Newbury Park,Matt Eichinger
433,Basketball,"Hoover (Fresno, CA)",Tezale Archie
434,Basketball,Alhambra,Chris Petiti
435,Basketball,Holy Martyrs Armenian,Koko Kaprielian
436,Basketball,Citrus Hill,Davey Hopkins
437,Basketball,St. Patrick-St. Vincent,Derek Walker
438,Basketball,Fairmont Prep,Joedy Gardner
439,Basketball,"Kennedy (Richmond, CA)",Michael Booker
440,Basketball,Alemany,Tray Meeks
441,Basketball,Garden Grove,Brian Girard
442,Basketball,Walnut,joe khouzam
443,Basketball,Ventura,Daniel Larson
444,Basketball,Saddleback Valley Christian,Josh Markum
445,Basketball,Valley Christian,Josh Zumkehr
446,Basketball,Aptos,Brian Bowyer
447,Basketball,Paraclete,Newton Chelette
448,Basketball,Saugus,Alfredo Manzano
449,Basketball,Garces Memorial,Brian Dignan
450,Basketball,Fountain Valley,DCean Bryant
451,Basketball,Dana Hills,Tom Desiano
452,Basketball,Chico,Abraham Simmons
453,Basketball,La Habra,Aaron Riekenberg
454,Basketball,Compton,Tony Thomas
455,Basketball,La Salle,Mike Lynch
456,Basketball,Brawley,Robert Christensen
457,Basketball,Coronado,JD Laaperi
458,Basketball,Pacific Ridge,Chris Burman
459,Basketball,"Burroughs (Burbank, CA)",Allan Ellis
460,Basketball,Covina,William Bissman
461,Basketball,Nipomo,Coach Stan Ikeda
462,Basketball,Temple City,Ted Nuguid
463,Basketball,St. Bonaventure,Patrick Frank
464,Basketball,Warren,Zaiid Leflore
465,Basketball,Middle College,Devin Price
466,Basketball,La Serna,marino angulo
467,Basketball,Santa Monica,James Hecht
468,Basketball,Palos Verdes,Brian Edelman
469,Basketball,Quartz Hill,Bernard Nichter
470,Basketball,Vaughn,Broderick Williams
471,Basketball,Tustin,Ringo Bossenmeyer
472,Basketball,Bishop Amat,Brandon Ertle
473,Basketball,Valley View,Jim Long
474,Basketball,Granite Hills,Dan Duffy
475,Basketball,Arleta,Jason Hill
476,Basketball,Greenfield,Adrian Trujillo
477,Basketball,Yorba Linda,Jason Pietsch
478,Basketball,North,A.J. Shearon
479,Basketball,Morro Bay,Tyler Fechner
480,Basketball,El Dorado,Ryan Mounce
481,Basketball,California,Joel Simonds
482,Basketball,La Canada,tom hofman
483,Basketball,El Capitan,Adrian Hurtado
484,Basketball,Beyer,Kyle McKim
485,Basketball,Burlingame,Jeff Dowd
486,Basketball,Grossmont,Frank Foggiano
487,Basketball,Diamond Ranch,jason romero
488,Basketball,Animo De La Hoya,Jesus Fernandez
489,Basketball,Valencia,Dean Yoshimura
490,Basketball,Ontario Christian,Mike Fischer
491,Basketball,Buena,Matt Colton
492,Basketball,Brea Olinda,Henry Johnson Jr.
493,Basketball,Servite,John Morris
494,Basketball,Pleasant Valley,Tim Keating
495,Basketball,Monterey,Greg Daniels
496,Basketball,Glendora,Gordon Hamlow
497,Basketball,Portola,Brian Smith
498,Basketball,Del Campo,dave nobis
499,Basketball,Upland,Daniel Ryan
500,Basketball,"Jefferson (Daly City, CA)",John Falabella
501,Basketball,Corona del Mar,Ryan Schachter
502,Basketball,Sonoma Valley,Mike Boles
503,Basketball,Kearny,James Cevallos
504,Basketball,Santee,Roderick Farris
505,Basketball,Mendez,Gerry Barreto
506,Basketball,San Dimas,jeremy ketterling
507,Basketball,Edison,Rich Boyce
508,Basketball,Beaumont,Jon Florence
509,Basketball,Tri-City Christian,Stan Bickley
510,Basketball,Yucaipa,James Simpson
511,Basketball,Rialto,"Troy Holland, Anthony Allen, Dante Rouzan"
512,Basketball,Bravo,Efren Cadena
513,Basketball,Santiago,Ronnie Ford
514,Basketball,Simi Valley,Ryan Bradshaw
515,Basketball,Hart,tom kelly
516,Basketball,Soquel,stu walters
517,Basketball,Corona,Chris Maffucci
518,Basketball,Orange Vista,El Davis
519,Basketball,Kaiser,Jason Perry
520,Basketball,Patriot,Marc Hart
521,Basketball,Glendale,Ib Belou
522,Basketball,Christian Brothers,Al Seyford
523,Basketball,Saratoga,Patrick Judge
524,Basketball,Los Angeles,Andrew Hunter
525,Basketball,Miller,Gerry Alvarez
526,Basketball,Las Plumas,Larry Smith
527,Basketball,Chaparral,Brad Smith
528,Basketball,"West (Torrance, CA)",Russell Payne
529,Basketball,Miramonte,Chris Lavdiotis
530,Basketball,Enterprise,Jim Deaver
531,Basketball,Wiseburn- Da Vinci,Jeff Amaral
532,Basketball,Pinole Valley,Danny Rynning
533,Basketball,Shasta,Jordan Freilich
534,Basketball,Maria Carrillo,Justin Leggins
535,Basketball,Aliso Niguel,Keith Barnett
536,Basketball,Ocean View,Brendan Holmes
537,Basketball,Mission,Arnold Zelaya
538,Basketball,Mission Vista,D.J. Foster
539,Basketball,Eastlake,Marlon King
540,Basketball,Sanger,Al Alvarado III
541,Basketball,Prospect,Mike Furlong
542,Basketball,Downtown Magnets,Robert Washington
543,Basketball,"Burroughs (Ridgecrest, CA)",Scott Hansen
544,Basketball,Eisenhower,Jonathan Chaney
545,Basketball,Viewpoint,J.J. Prince
546,Basketball,Mt. Whitney,Jon Zaino
547,Basketball,Los Banos,Kevin Coleman
548,Basketball,"Pioneer (Woodland, CA)",Barry Reese
549,Basketball,Gahr,Ricky Roper
550,Basketball,"West (Bakersfield, CA)",elbert watkins
551,Basketball,Heritage,Andrew Ellis
552,Basketball,"Pioneer (Whittier, CA)",Rick Kamayatsu
553,Basketball,Locke,Robert Gumbs
554,Basketball,Encinal,Michael Waller
555,Basketball,Temescal Canyon,Ed Thomas
556,Basketball,Sierra,Eddie Morales
557,Basketball,Lakewood,Duane Cooper
558,Basketball,West Ranch,Jeff Bryant
559,Basketball,Shalhevet,Ryan Coleman
560,Basketball,Beckman,John Goins
561,Basketball,El Segundo,David March
562,Basketball,Pacifica,David Friedman
563,Basketball,"El Camino (South San Francisco, CA)",Denzel McCollum jr.
564,Basketball,Central City Value,Anthony Jimenez
565,Basketball,North Monterey County,Patrick Kilty
566,Basketball,Troy,Scott Blake
567,Basketball,Manteca,Jason Hitt
568,Basketball,Capistrano Valley Christian,Christopher Childress
569,Basketball,Morse,Carl Fisher
570,Basketball,Claremont,Stan Tolliver
571,Basketball,West Hills,tim barry
572,Basketball,Rancho Cotate,Mike Washington
573,Basketball,Inglewood,Ronald Allen
574,Basketball,Sunny Hills,Joe Ok
575,Basketball,Canyon,Sean DeLong
576,Basketball,East Union,James Ward
577,Basketball,St. Paul,Damaine Powell
578,Basketball,Monrovia,Samuel-Sheeck Morris
579,Basketball,Center,Willie Armstrong II
580,Basketball,Harbor Teacher,Ronald Quiette
581,Basketball,Maranatha,Tim Tucker
582,Basketball,Westmoor,Herb Yaptinchay
583,Basketball,Santa Fe,leonard romero
584,Basketball,"Foothill (Bakersfield, CA)",Wesley Davis
585,Basketball,Citrus Valley,Yon Okorodudu
586,Basketball,Ann Sobrato,Sean Tate
587,Basketball,Canoga Park,Andrew Cartwright
588,Basketball,Pajaro Valley,Andre Bailey
589,Basketball,Pacifica Christian/Santa Monica,Kevin Kelsey
590,Basketball,Kimball,Albert Garibaldi
591,Basketball,Sir Francis Drake,Bret Tovani
592,Basketball,Oakdale,Charles Legan
593,Basketball,Muir,Simaine Stewart
594,Basketball,Lawndale,Christopher Brownlee
595,Basketball,Norco,justin norman
596,Basketball,Sotomayor,Angel Jordan
597,Basketball,Madera,David Lozano
598,Basketball,Santa Clara,Bobby Tenorio
599,Basketball,St. Ignatius,Rob Marcaletti
600,Basketball,Westminster,CJ Hollingsworth
601,Basketball,Ramona,David Kulowitch
602,Basketball,San Fernando,Leo Sanders
603,Basketball,Selma,Johnny Vargas
604,Basketball,Sacred Heart Cathedral Preparatory,Sean MacKay
605,Basketball,"Foothill (Santa Ana, CA)",Yousof Etemadi
606,Basketball,Arcadia,Nick Wallace
607,Basketball,Hayward,Sunny Aujla
608,Basketball,Wilson,Willie Allen
609,Basketball,Mission Oak,Mario Flores
610,Basketball,University,Beau Budde
611,Basketball,"El Camino (Sacramento, CA)",Mamo Rafiq
612,Basketball,Ceres,TJ Walker Jr
613,Basketball,Royal,CRAIG GRIFFIN
614,Basketball,Leuzinger,Arturo Jones
615,Basketball,South,Leo Klemm
616,Basketball,Southwest EC,Danilo Montialli
617,Basketball,San Juan Hills,Jason Efstathiou
618,Basketball,Madison,Mike Stutz
619,Basketball,Frontier,Randy Serrano
620,Basketball,Rio Linda,Shannon Greenlee
621,Basketball,San Rafael,Brett Mitchell
622,Basketball,Novato,Rob Barde
623,Basketball,Albany,Delvin Curry
624,Basketball,Ayala,Sameer Bhatt
625,Basketball,Southwest SD,Steve Selland
626,Basketball,"Hoover (San Diego, CA)",Wilder Felusme
627,Basketball,Nevada Union,Mark Casey
628,Basketball,Balboa,Val Tintiangco-Cubales
